Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
Chinese Consulate General in Chicago,中国驻芝加哥总领馆,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaConsulate,https://twitter.com/ChinaConsulate,5755
Chinese Consulate General in Istanbul Spokesperson,,Türkiye,Turkish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chinaconsulist,https://twitter.com/chinaconsulist,9327
Chinese Consulate General in Sydney,,Australia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaConSydney,https://twitter.com/ChinaConSydney,9035
China Culture,,Anglosphere,English,China Daily Press,中国日报社,Ministry of Culture and Tourism,中华人民共和国文化和旅游部,Chinacultureorg,https://twitter.com/Chinacultureorg,24600
China Daily,中国日报,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,ChinaDaily,https://twitter.com/ChinaDaily,"4,100,000"
China Daily EU Bureau,,EU,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,ChinaDaily_EU,https://twitter.com/ChinaDaily_EU,1375
China Daily Life,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,ChinaDaily_Life,https://twitter.com/ChinaDaily_Life,993
China Daily Asia,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,ChinaDailyAsia,https://twitter.com/ChinaDailyAsia,26900
China Daily Europe,,EU,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,ChinaDailyEU,https://twitter.com/ChinaDailyEU,10200
China Daily World,,Anglosphere,English,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,ChinaDailyWorld,https://twitter.com/ChinaDailyWorld,1387
China.com (Japanese),,Japan,Japanese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,chinadotcom_JP,https://twitter.com/chinadotcom_JP,38100
Chinese Embassy in Greece,,Greece,Greek,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Chinaemb_Hellas,https://twitter.com/Chinaemb_Hellas,3940
Chinese Embassy in South Sudan,中国驻南苏丹使馆,South Sudan,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEmb_Juba,https://twitter.com/ChinaEmb_Juba,1276
